Player,School,POS,ATT,YDS,AVG,LNG,TD
Alex Orji,MICH,['QB'],['7'],['38'],['5.4'],['16'],['1']
Juju McDowell,SC,['RB'],['19'],['38'],['2.0'],['17'],['2']
Kaden Moorman,LOU,['RB'],['5'],['38'],['7.6'],['25'],['0']
D.J. Oliver,WVU,['RB'],['10'],['38'],['3.8'],['6'],['1']
Trace Campbell,UAB,['QB'],['6'],['38'],['6.3'],['14'],['0']
Darwin Barlow,USC,['RB'],['6'],['37'],['6.2'],['23'],['0']
Yulkeith Brown,TULN,['WR'],['3'],['37'],['12.3'],['15'],['2']
Ramon Jefferson,UK,['RB'],['7'],['36'],['5.1'],['16'],['0']
Kaden Prather,MD,['WR'],['1'],['36'],['36.0'],['36'],['0']
Daylan Smothers,OU,['RB'],['9'],['36'],['4.0'],['16'],['0']
Amare Thomas,UAB,['WR'],['3'],['36'],['12.0'],['33'],['0']
Curtis Douglas,KENT,['RB'],['7'],['36'],['5.1'],['12'],['0']
Jack Tuttle,MICH,['QB'],['4'],['35'],['8.8'],['18'],['0']
Devin Brown,OSU,['QB'],['19'],['35'],['1.8'],['8'],['1']
Grant Wilson,ODU,['QB'],['71'],['35'],['0.5'],['25'],['1']
Christian Nash,NIU,['RB'],['8'],['35'],['4.4'],['16'],['0']
Daelen Alexander,RICE,['RB'],['18'],['35'],['1.9'],['9'],['5']
Jay Haynes,CLEM,['RB'],['6'],['35'],['5.8'],['17'],['1']
Ui Ale,HOU,['QB'],['6'],['35'],['5.8'],['11'],['0']
Geordon Porter,CONN,['WR'],['1'],['34'],['34.0'],['34'],['0']
Cross Patton,NEV,['RB'],['13'],['34'],['2.6'],['8'],['0']
Ikaika Ragsdale,UNT,['RB'],['9'],['34'],['3.8'],['17'],['0']
Brady Lichtenberg,CIN,['QB'],['5'],['34'],['6.8'],['16'],['1']
Terrell Washington Jr.,IOWA,['RB'],['7'],['34'],['4.9'],['9'],['0']
Anthony Frias II,KSU,['RB'],['11'],['34'],['3.1'],['8'],['0']
Dorian Smith,USA,['RB'],['2'],['34'],['17.0'],['29'],['1']
Mac Dalena,FRES,['WR'],['1'],['33'],['33.0'],['33'],['0']
Brennan Presley,OKST,['WR'],['8'],['33'],['4.1'],['8'],['2']
Sawyer Robertson,BAY,['QB'],['19'],['33'],['1.7'],['31'],['1']
Leon Franklin,MICH,['RB'],['11'],['33'],['3.0'],['9'],['1']
Justin Jones,AUB,['RB'],['4'],['33'],['8.3'],['12'],['0']
Antonio Patterson,FIU,['RB'],['13'],['33'],['2.5'],['11'],['1']
McCae Hillstead,USU,['QB'],['29'],['33'],['1.1'],['18'],['0']
Jahbari Kuykendall,CCU,['RB'],['3'],['33'],['11.0'],['34'],['0']
Joseph Fagnano,CONN,['QB'],['16'],['32'],['2.0'],['13'],['0']
Cooper Jones,USU,['RB'],['8'],['32'],['4.0'],['15'],['1']
AJ Bianco,NEV,['QB'],['11'],['32'],['2.9'],['19'],['1']
Jake McNamara,UTEP,['QB'],['8'],['32'],['4.0'],['11'],['1']
J.J. Kohl,ISU,['QB'],['6'],['32'],['5.3'],['9'],['0']
Brock Glenn,FSU,['QB'],['2'],['32'],['16.0'],['34'],['0']
Evan Dickens,GT,['RB'],['8'],['32'],['4.0'],['19'],['0']
Sevaughn Clark,UGA,['RB'],['6'],['31'],['5.2'],['16'],['1']
Jalen John,MASS,['RB'],['10'],['31'],['3.1'],['7'],['0']
Damian Henderson II,CSU,['RB'],['7'],['31'],['4.4'],['11'],['0']
Cade Harris,AFA,['WR'],['5'],['31'],['6.2'],['9'],['2']
Jordan Lovett,TROY,['RB'],['7'],['31'],['4.4'],['6'],['0']
Thomas Pannunzio,CMU,['WR'],['3'],['30'],['10.0'],['19'],['0']
Jabari Bates,SJSU,['RB'],['11'],['30'],['2.7'],['7'],['0']
Mario Escobar,SYR,['RB'],['4'],['30'],['7.5'],['15'],['0']
Dalen Cobb,GASO,['WR'],['3'],['30'],['10.0'],['15'],['0']
Justin Holmes,KENT,['TE'],['1'],['30'],['30.0'],['30'],['0']
AJ Newberry,VAN,['RB'],['3'],['30'],['10.0'],['21'],['0']
Connor Walendzak,TOL,['RB'],['17'],['30'],['1.8'],['7'],['2']
Victor Snow,BUFF,['WR'],['5'],['30'],['6.0'],['16'],['0']
Dom Shoffner,CLT,['QB'],['2'],['29'],['14.5'],['19'],['0']
Richard Newton,WASH,['RB'],['4'],['29'],['7.3'],['17'],['0']
Levi Williams,USU,['QB'],['6'],['29'],['4.8'],['11'],['0']
Jam Griffin,MISS,['RB'],['5'],['29'],['5.8'],['14'],['0']
Omarion Dollison,JMU,['WR'],['2'],['29'],['14.5'],['26'],['0']
Jadon Jackson,KSU,['WR'],['3'],['29'],['9.7'],['14'],['0']
Tyler Crowe,BOIS,['RB'],['9'],['29'],['3.2'],['8'],['0']
Trevin Luben,NEB,['RB'],['3'],['29'],['9.7'],['18'],['0']
Junior Vandeross III,TOL,['WR'],['1'],['29'],['29.0'],['29'],['0']
Alonza Barnett III,JMU,['QB'],['5'],['29'],['5.8'],['9'],['1']
Justin Williams-Thomas,CAL,['RB'],['4'],['29'],['7.3'],['23'],['0']
Chris Curry,UTAH,['RB'],['8'],['28'],['3.5'],['9'],['0']
Antavious Willis,USM,['RB'],['6'],['28'],['4.7'],['12'],['0']
Mike Drennen II,TOL,['RB'],['7'],['28'],['4.0'],['8'],['1']
Doug Brumfield,UNLV,['QB'],['18'],['28'],['1.6'],['19'],['1']
Savion Williams,TCU,['WR'],['5'],['28'],['5.6'],['14'],['0']
Brock Bowers,UGA,['TE'],['6'],['28'],['4.7'],['14'],['1']
Al-Shadee Salaam,RUTG,['RB'],['6'],['28'],['4.7'],['18'],['1']
Henry Belin IV,DUKE,['QB'],['8'],['28'],['3.5'],['26'],['1']
LaJohntay Wester,FAU,['WR'],['4'],['28'],['7.0'],['21'],['0']
AJ Swann,VAN,['QB'],['25'],['28'],['1.1'],['25'],['1']
PJ Martin,USA,['RB'],['9'],['28'],['3.1'],['14'],['0']
Alan Bowman,OKST,['QB'],['18'],['27'],['1.5'],['12'],['1']
Chamon Metayer,CIN,['TE'],['1'],['27'],['27.0'],['27'],['0']
Charlie Norman,ULM,['RB'],['7'],['27'],['3.9'],['12'],['0']
Jaylin Lane,VT,['WR'],['6'],['27'],['4.5'],['11'],['0']
Cornelius Johnson,MICH,['WR'],['1'],['26'],['26.0'],['26'],['0']
Corey Wren,TCU,['RB'],['8'],['26'],['3.3'],['9'],['0']
T.J. Jones,UAB,['WR'],['3'],['26'],['8.7'],['15'],['0']
Billy Edwards Jr.,MD,['QB'],['6'],['26'],['4.3'],['9'],['1']
Chandler Pittman,USM,['RB'],['9'],['26'],['2.9'],['11'],['0']
Tobias Weaver,SHSU,['RB'],['13'],['26'],['2.0'],['8'],['0']
Jack Griese,UVA,['RB'],['8'],['26'],['3.3'],['9'],['0']
David Bailey,TA&M,['RB'],['5'],['25'],['5.0'],['13'],['0']
Lawrence Keys III,TULN,['WR'],['4'],['25'],['6.3'],['12'],['0']
Phillip Brooks,KSU,['WR'],['5'],['25'],['5.0'],['10'],['1']
Dayton Wade,MISS,['WR'],['7'],['25'],['3.6'],['9'],['0']
Logan Kyle,VAN,['TE'],['2'],['25'],['12.5'],['13'],['0']
Devin Boddie Jr.,WYO,['WR'],['3'],['25'],['8.3'],['26'],['0']
Simeon Price,MSST,['RB'],['3'],['25'],['8.3'],['11'],['0']
Tyler Van Dyke,MIA,['QB'],['14'],['25'],['1.8'],['37'],['1']
Victor Venn,LIB,['RB'],['5'],['25'],['5.0'],['12'],['0']
Jordan Nabors,BAY,['WR'],['7'],['25'],['3.6'],['7'],['0']
Malcolm Gillie,BALL,['WR'],['4'],['25'],['6.3'],['11'],['0']
Tucker Gleason,TOL,['QB'],['4'],['24'],['6.0'],['9'],['0']
Ja'Lynn Polk,WASH,['WR'],['2'],['24'],['12.0'],['27'],['1']
KZ Adams,GAST,['RB'],['15'],['24'],['1.6'],['6'],['0']
Tiaquelin Mims,USM,['DB'],['4'],['24'],['6.0'],['26'],['0']
Dalen Morris,HAW,['QB'],['7'],['23'],['3.3'],['15'],['1']
Tyler Brown,CLEM,['WR'],['1'],['23'],['23.0'],['23'],['0']
Ricky Pearsall,FLA,['WR'],['2'],['23'],['11.5'],['14'],['1']
Sam Adams II,WASH,['RB'],['10'],['23'],['2.3'],['11'],['1']
Daniyel Ngata,WASH,['RB'],['7'],['23'],['3.3'],['9'],['1']
Isaiah Williams,ILL,['WR'],['6'],['23'],['3.8'],['5'],['0']
Keagan Johnson,KSU,['WR'],['4'],['23'],['5.8'],['13'],['0']
Bugs Mortimer,ULM,['WR'],['3'],['23'],['7.7'],['23'],['0']
Max Johnson,TA&M,['QB'],['43'],['23'],['0.5'],['32'],['1']
Kendrell Williams,UL,['RB'],['3'],['23'],['7.7'],['12'],['0']
Devontez Walker,UNC,['WR'],['3'],['23'],['7.7'],['20'],['0']
Major Everhart,TCU,['WR'],['6'],['23'],['3.8'],['12'],['0']
Kam Ingram,UCF,['RB'],['4'],['23'],['5.8'],['12'],['0']
Amin Hassan,NAVY,['RB'],['9'],['23'],['2.6'],['11'],['0']
Wayne Knight,JMU,['RB'],['4'],['23'],['5.8'],['22'],['0']
Dedrick Latulas,LT,['WR'],['3'],['23'],['7.7'],['14'],['0']
Ashton Frye,JVST,['QB'],['7'],['23'],['3.3'],['11'],['0']
Ezell Jolly,UTEP,['RB'],['8'],['23'],['2.9'],['6'],['0']
Germie Bernard,WASH,['WR'],['9'],['22'],['2.4'],['11'],['2']
Dante Jackson,AKR,['PK'],['1'],['22'],['22.0'],['22'],['0']
K.D. Hutchinson,WKU,['WR'],['3'],['22'],['7.3'],['23'],['1']
Quintell Quinn,OHIO,['RB'],['5'],['22'],['4.4'],['8'],['0']
Che Nwabuko,PITT,['WR'],['3'],['22'],['7.3'],['24'],['0']
Chrishon McCray,KENT,['WR'],['4'],['22'],['5.5'],['11'],['0']
RJ Martinez,BAY,['QB'],['3'],['22'],['7.3'],['9'],['0']
Kaden Wetjen,IOWA,['WR'],['3'],['22'],['7.3'],['14'],['0']
Evan Conley,LOU,['QB'],['3'],['21'],['7.0'],['19'],['0']
Jalen McMillan,WASH,['WR'],['2'],['21'],['10.5'],['19'],['1']
Grayson James,FIU,['QB'],['21'],['21'],['1.0'],['18'],['1']
Emeka Egbuka,OSU,['WR'],['4'],['21'],['5.3'],['9'],['0']
Khaleb Hood,GASO,['WR'],['2'],['21'],['10.5'],['16'],['0']
Jelani Stafford,CONN,['DL'],['12'],['21'],['1.8'],['4'],['6']
Tavierre Dunlap,MICH,['RB'],['5'],['21'],['4.2'],['7'],['0']
Chance Black,VT,['RB'],['4'],['21'],['5.3'],['8'],['0']
Garret Rangel,OKST,['QB'],['6'],['21'],['3.5'],['10'],['0']
Freddie Brock,GAST,['RB'],['3'],['21'],['7.0'],['12'],['0']
Zach Vigil,UNM,['RB'],['7'],['21'],['3.0'],['8'],['0']
Isaiah Augustave,ARK,['RB'],['6'],['21'],['3.5'],['8'],['0']
Quinton Jackson,RICE,['RB'],['6'],['21'],['3.5'],['11'],['0']
Nate Johnson,BC,['WR'],['3'],['21'],['7.0'],['18'],['0']
Jaelen Gill,FRES,['WR'],['8'],['20'],['2.5'],['6'],['0']
Luke McCaffrey,RICE,['WR'],['8'],['20'],['2.5'],['12'],['0']
Kelley Joiner,USF,['RB'],['8'],['20'],['2.5'],['6'],['0']
Keyon Lesane,NCSU,['WR'],['3'],['20'],['6.7'],['8'],['0']
Tyler Buchner,ALA,['QB'],['3'],['20'],['6.7'],['9'],['1']
Kaylon Horton,UNT,['WR'],['4'],['20'],['5.0'],['11'],['0']
MJ Morris,NCSU,['QB'],['26'],['20'],['0.8'],['16'],['0']
Marquis Crosby,LT,['RB'],['1'],['20'],['20.0'],['20'],['0']
Jakarius Caston,USM,['WR'],['2'],['20'],['10.0'],['11'],['1']
David Amador,UTSA,['WR'],['1'],['20'],['20.0'],['20'],['0']
Montravius Lloyd,PITT,['RB'],['5'],['20'],['4.0'],['5'],['0']
Jarvis Durr,USA,['RB'],['3'],['20'],['6.7'],['13'],['0']
Kevin Jennings,SMU,['QB'],['8'],['20'],['2.5'],['10'],['1']
Jordan Jenkins,BAY,['RB'],['2'],['19'],['9.5'],['16'],['0']
Miller Moss,USC,['QB'],['2'],['19'],['9.5'],['15'],['2']
Ethan Wright,CIN,['RB'],['7'],['19'],['2.7'],['9'],['0']
Brian Brewton,CONN,['RB'],['3'],['19'],['6.3'],['8'],['0']
Justyn Martin,UCLA,['QB'],['3'],['19'],['6.3'],['15'],['0']
Carlos Davis,MASS,['QB'],['20'],['19'],['0.9'],['18'],['0']
Rickie Collins,LSU,['QB'],['3'],['19'],['6.3'],['13'],['0']
Anton Hall Jr.,NAVY,['RB'],['6'],['19'],['3.2'],['6'],['2']
Demetrius Battle,UAB,['RB'],['5'],['19'],['3.8'],['7'],['0']
Jamal Hailey,WMU,['RB'],['6'],['19'],['3.2'],['7'],['0']
Rickey Hunt,OHIO,['RB'],['6'],['19'],['3.2'],['10'],['0']
Alex Smith,GASO,['P'],['1'],['18'],['18.0'],['18'],['0']
Casey Rogers,ORE,['DL'],['1'],['18'],['18.0'],['18'],['0']
Jack Plummer,LOU,['QB'],['53'],['18'],['0.3'],['20'],['1']
Sterling Galban,JVST,['WR'],['5'],['18'],['3.6'],['10'],['0']
Joachim Bangda,CLT,['RB'],['11'],['18'],['1.6'],['7'],['1']
Gary Bryant Jr.,ORE,['WR'],['3'],['18'],['6.0'],['15'],['0']
Amaad Foston,UVA,['RB'],['3'],['18'],['6.0'],['8'],['0']
Trent Battle,TCU,['RB'],['7'],['18'],['2.6'],['10'],['0']
David Holloman,IU,['RB'],['6'],['18'],['3.0'],['7'],['0']
Johnathan Arceneaux,FRES,['RB'],['6'],['18'],['3.0'],['9'],['0']
Cole Nelson,VT,['DL'],['1'],['18'],['18.0'],['18'],['0']
Elliott Nimrod,USU,['PK'],['1'],['18'],['18.0'],['18'],['1']
Daniel Wood,UTAH,['RB'],['4'],['18'],['4.5'],['10'],['0']
Jimmy Horn Jr.,COLO,['WR'],['2'],['18'],['9.0'],['17'],['0']
Te'Sean Smoot,JVST,['QB'],['4'],['18'],['4.5'],['5'],['0']
Richard Young,ALA,['RB'],['5'],['18'],['3.6'],['11'],['0']
Easton Messer,WKU,['WR'],['1'],['18'],['18.0'],['18'],['0']
KJ Edwards,CSU,['RB'],['2'],['18'],['9.0'],['12'],['0']
Ben Kiernan,UNC,['P'],['1'],['17'],['17.0'],['17'],['0']
Chris Mayo,EMU,['OL'],['0'],['17'],['0.0'],['17'],['0']
Matthew Shipley,HAW,['PK'],['1'],['17'],['17.0'],['17'],['0']
Davion Primm,MSU,['RB'],['4'],['17'],['4.3'],['8'],['0']
Gunner Stockton,UGA,['QB'],['4'],['17'],['4.3'],['14'],['0']
Deuce Spann,FSU,['WR'],['3'],['17'],['5.7'],['15'],['0']
Braylin Presley,TLSA,['RB'],['5'],['17'],['3.4'],['10'],['0']
Monaray Baldwin,BAY,['WR'],['3'],['17'],['5.7'],['12'],['0']
Grayson Loftis,DUKE,['QB'],['8'],['17'],['2.1'],['8'],['0']
Micah Barnett,RICE,['FB'],['6'],['17'],['2.8'],['6'],['0']
Emari White,UTEP,['WR'],['1'],['17'],['17.0'],['17'],['0']
Lamar Sperling,BUFF,['RB'],['4'],['17'],['4.3'],['8'],['0']
Djay Braswell,SC,['RB'],['4'],['17'],['4.3'],['9'],['0']
Landan Brown,SHSU,['RB'],['9'],['17'],['1.9'],['6'],['0']
John Adams,TEM,['WR'],['1'],['16'],['16.0'],['16'],['0']
Drake Stoops,OU,['WR'],['2'],['16'],['8.0'],['13'],['0']
Jordan Whittington,TEX,['WR'],['2'],['16'],['8.0'],['20'],['0']
Alante Brown,MSU,['WR'],['5'],['16'],['3.2'],['10'],['0']
Deion Burks,PUR,['WR'],['2'],['16'],['8.0'],['10'],['0']
DJ Riles,MTSU,['QB'],['5'],['16'],['3.2'],['7'],['0']
Gavin Freeman,OU,['WR'],['3'],['16'],['5.3'],['10'],['0']
Keldric Luster,SMU,['QB'],['2'],['16'],['8.0'],['10'],['0']
Quran Boyd,DUKE,['WR'],['6'],['16'],['2.7'],['9'],['0']
Junior Sherrill,VAN,['WR'],['2'],['16'],['8.0'],['20'],['0']
Jordan Faison,ND,['WR'],['1'],['16'],['16.0'],['16'],['0']
Je'Quan Burton,FAU,['WR'],['1'],['15'],['15.0'],['15'],['0']
Charlie Vincent,UTAH,['RB'],['5'],['15'],['3.0'],['5'],['0']
Xavier Weaver,COLO,['WR'],['2'],['15'],['7.5'],['14'],['2']
Jack Coulson,KENT,['WR'],['1'],['15'],['15.0'],['15'],['0']
Odieu Hiliare,BGSU,['WR'],['0'],['15'],['0.0'],['15'],['0']
PJ Johnson III,NMSU,['WR'],['1'],['15'],['15.0'],['15'],['0']
Tevin White,ASU,['RB'],['8'],['15'],['1.9'],['7'],['0']
Trapper Pannell,SHSU,['QB'],['12'],['15'],['1.3'],['10'],['3']
Bryson Donnell,TTU,['RB'],['4'],['15'],['3.8'],['12'],['0']
Ahmarian Granger,ODU,['WR'],['1'],['15'],['15.0'],['15'],['0']
Carlson Joseph,FLA,['RB'],['3'],['15'],['5.0'],['7'],['0']
Landon Sides,UNT,['WR'],['2'],['15'],['7.5'],['8'],['0']
Tyler Walton,OHIO,['WR'],['3'],['14'],['4.7'],['7'],['0']
Devyn Ford,ND,['RB'],['4'],['14'],['3.5'],['5'],['0']
Jalen Mitchell,CONN,['RB'],['5'],['14'],['2.8'],['9'],['0']
Jimmy Calloway,LOU,['WR'],['2'],['14'],['7.0'],['7'],['0']
Jordon Simmons,MSU,['RB'],['7'],['14'],['2.0'],['4'],['0']
Rome Odunze,WASH,['WR'],['1'],['14'],['14.0'],['14'],['1']
Iverson Celestine,TULN,['RB'],['3'],['14'],['4.7'],['11'],['0']
Evan Pryor,OSU,['RB'],['6'],['14'],['2.3'],['6'],['0']
Colton Spangler,MD,['P'],['1'],['14'],['14.0'],['14'],['0']
Kacper Rutkiewicz,NIU,['WR'],['2'],['14'],['7.0'],['9'],['0']
Skip Velotta,ND,['RB'],['2'],['14'],['7.0'],['9'],['0']
Josh Atkins,HAW,['OL'],['0'],['14'],['0.0'],['14'],['0']
Eddie Battle,FLA,['RB'],['6'],['14'],['2.3'],['7'],['0']
Jonathan Brady,NMSU,['WR'],['6'],['14'],['2.3'],['7'],['0']
George Hart III,ASU,['RB'],['5'],['14'],['2.8'],['7'],['0']
A'Marion Peterson,USC,['RB'],['2'],['14'],['7.0'],['9'],['0']
Kalib Hicks,OU,['RB'],['3'],['14'],['4.7'],['9'],['1']
Spencer Sanders,MISS,['QB'],['5'],['13'],['2.6'],['14'],['0']
Dee Wiggins,CIN,['WR'],['1'],['13'],['13.0'],['13'],['0']
Billy Kemp IV,NEB,['WR'],['2'],['13'],['6.5'],['9'],['1']
Jesiah Irish,ORST,['WR'],['2'],['13'],['6.5'],['11'],['0']
Christian Veilleux,PITT,['QB'],['19'],['13'],['0.7'],['11'],['0']
Wyatt Wieland,WYO,['WR'],['4'],['13'],['3.3'],['11'],['0']
Keelan Marion,BYU,['WR'],['6'],['13'],['2.2'],['6'],['2']
Cole Harrity,BUFF,['WR'],['3'],['13'],['4.3'],['6'],['0']
Cam'ron Barfield,BC,['RB'],['8'],['13'],['1.6'],['10'],['0']
Cam Crooks,TLSA,['WR'],['4'],['13'],['3.3'],['10'],['0']
Lucian Anderson III,BGSU,['QB'],['4'],['13'],['3.3'],['9'],['0']
Tyler Bradley,NAVY,['RB'],['1'],['13'],['13.0'],['13'],['0']
Ahmad Edwards,BALL,['WR'],['2'],['12'],['6.0'],['9'],['0']
Jamari Thrash,LOU,['WR'],['1'],['12'],['12.0'],['12'],['1']
Traeshon Holden,ORE,['WR'],['2'],['12'],['6.0'],['7'],['1']
Jack Dawson,JVST,['P'],['1'],['12'],['12.0'],['12'],['0']
Behren Morton,TTU,['QB'],['28'],['12'],['0.4'],['10'],['3']
JoJo Earle,TCU,['WR'],['3'],['12'],['4.0'],['9'],['0']
Brock Domann,LOU,['QB'],['3'],['12'],['4.0'],['11'],['0']
Dane Kinamon,AFA,['WR'],['4'],['12'],['3.0'],['4'],['0']
Elijah Green,UNC,['RB'],['4'],['12'],['3.0'],['9'],['0']
Terron Dixon III,GASO,['RB'],['5'],['12'],['2.4'],['12'],['0']
Jake Tafelski,CMU,['RB'],['3'],['12'],['4.0'],['5'],['0']
Shaun Thomas,CIN,['RB'],['7'],['12'],['1.7'],['5'],['0']
Jet Harris,AFA,['RB'],['4'],['12'],['3.0'],['4'],['1']
Ethan Crawford,USM,['QB'],['2'],['12'],['6.0'],['10'],['1']
Xayvion Turner-Bradshaw,VT,['WR'],['2'],['12'],['6.0'],['9'],['0']
Jalen Bracey,FIU,['WR'],['2'],['12'],['6.0'],['7'],['0']
Evan Svoboda,WYO,['QB'],['13'],['12'],['0.9'],['7'],['0']
Kenyon Sadiq,ORE,['TE'],['1'],['12'],['12.0'],['12'],['0']
John Busha,AFA,['QB'],['3'],['12'],['4.0'],['6'],['0']
Dino Tomlin,BC,['WR'],['1'],['11'],['11.0'],['11'],['0']
Jacob Cowing,ARIZ,['WR'],['3'],['11'],['3.7'],['4'],['0']
Roderick Daniels Jr.,SMU,['WR'],['8'],['11'],['1.4'],['4'],['0']
Antwan Roberts,MRSH,['RB'],['2'],['11'],['5.5'],['8'],['0']
Malachi Corley,WKU,['WR'],['4'],['11'],['2.8'],['6'],['0']
Luther Burden III,MIZ,['WR'],['5'],['11'],['2.2'],['6'],['0']
Terrance Gibbs,GASO,['RB'],['7'],['11'],['1.6'],['7'],['0']
Jake Arthurs,NU,['RB'],['4'],['11'],['2.8'],['8'],['0']
Charles Crawford III,SHSU,['RB'],['7'],['11'],['1.6'],['4'],['0']
Braedyn Locke,WIS,['QB'],['11'],['11'],['1.0'],['29'],['0']
Mudia Reuben,STAN,['WR'],['2'],['11'],['5.5'],['13'],['0']
Charlie Offerdahl,COLO,['RB'],['2'],['11'],['5.5'],['6'],['0']
David Cordero,HAW,['RB'],['6'],['11'],['1.8'],['7'],['0']
Christian Washington,UNM,['RB'],['12'],['11'],['0.9'],['5'],['0']
E.J. Warner,TEM,['QB'],['16'],['11'],['0.7'],['10'],['0']
Dakota Williams,LT,['WR'],['8'],['11'],['1.4'],['6'],['1']
Kaden Cloud,AFA,['RB'],['2'],['11'],['5.5'],['11'],['0']
Timmy Bleekrode,NEB,['PK'],['1'],['10'],['10.0'],['10'],['0']
Jeremiah Hixon,UNM,['WR'],['2'],['10'],['5.0'],['7'],['0']
Dashaun Davis,APP,['WR'],['1'],['10'],['10.0'],['10'],['0']
Lawrence Arnold,KU,['WR'],['1'],['10'],['10.0'],['10'],['0']
Roman Wilson,MICH,['WR'],['1'],['10'],['10.0'],['10'],['0']
Jayden Thomas,ND,['WR'],['1'],['10'],['10.0'],['10'],['0']
Kendrell Flowers,NIU,['RB'],['3'],['10'],['3.3'],['4'],['0']
Tahj Washington,USC,['WR'],['1'],['10'],['10.0'],['10'],['0']
Julian Gray,NCSU,['WR'],['3'],['10'],['3.3'],['7'],['0']
JP Richardson,TCU,['WR'],['2'],['10'],['5.0'],['8'],['0']
Jayden Denegal,MICH,['QB'],['4'],['10'],['2.5'],['8'],['0']
AJ Padgett,RICE,['QB'],['3'],['10'],['3.3'],['11'],['0']
Braylen Walker,RICE,['WR'],['2'],['10'],['5.0'],['8'],['0']
Nyck Harbor,SC,['WR'],['2'],['10'],['5.0'],['9'],['0']
Jaquaize Pettaway,OU,['WR'],['1'],['10'],['10.0'],['10'],['0']
Devin McCuin,UTSA,['WR'],['1'],['10'],['10.0'],['10'],['0']
Blake Murphy,ULM,['QB'],['15'],['10'],['0.7'],['15'],['0']
Ajani Sheppard,RUTG,['QB'],['1'],['10'],['10.0'],['10'],['0']
Brandon High,UTSA,['RB'],['5'],['10'],['2.0'],['5'],['0']
Kadin Semonza,BALL,['QB'],['17'],['10'],['0.6'],['16'],['0']
Jaylen Lloyd,NEB,['WR'],['2'],['10'],['5.0'],['9'],['0']
Champ Harris,ARMY,['QB'],['20'],['10'],['0.5'],['36'],['1']
Malik Caper,LIB,['RB'],['1'],['9'],['9.0'],['9'],['0']
Tyrone Broden,ARK,['WR'],['1'],['9'],['9.0'],['9'],['0']
Anthony Sambucci,WMU,['WR'],['1'],['9'],['9.0'],['9'],['0']
Malik Washington,UVA,['WR'],['2'],['9'],['4.5'],['8'],['0']
Ke'Shawn Williams,WAKE,['WR'],['2'],['9'],['4.5'],['7'],['1']
Zach Haynes,NMSU,['P'],['1'],['9'],['9.0'],['9'],['0']
Chase Gabriel,FIU,['PK'],['1'],['9'],['9.0'],['9'],['0']
Joey Bearns III,CLT,['TE'],['3'],['9'],['3.0'],['5'],['0']
Sam Horn,MIZ,['QB'],['3'],['9'],['3.0'],['6'],['0']
Jake Farrell,HAW,['QB'],['2'],['9'],['4.5'],['9'],['0']
Timothy Conerly,UNLV,['WR'],['2'],['9'],['4.5'],['5'],['0']
Atticus Sappington,ORST,['PK'],['1'],['9'],['9.0'],['9'],['0']
Braylon McReynolds,USA,['RB'],['2'],['9'],['4.5'],['6'],['0']
Raheim Jeter,ECU,['QB'],['1'],['9'],['9.0'],['9'],['0']
Khalifa Keith,TENN,['RB'],['4'],['9'],['2.3'],['6'],['0']
Bryce McMahon,TOL,['RB'],['3'],['9'],['3.0'],['7'],['0']
Kayden Collins,SJSU,['RB'],['2'],['9'],['4.5'],['6'],['0']
Malik Phillips,SHSU,['WR'],['3'],['9'],['3.0'],['8'],['0']
Troy Leigber,UCLA,['RB'],['1'],['9'],['9.0'],['9'],['0']
Perry Carter,JVST,['WR'],['1'],['8'],['8.0'],['8'],['0']
Kenyon Sims,JVST,['RB'],['4'],['8'],['2.0'],['4'],['0']
Sam Hartman,ND,['QB'],['34'],['8'],['0.2'],['17'],['2']
Cam Johnson,NU,['WR'],['1'],['8'],['8.0'],['8'],['0']
Jaren Mangham,MSU,['RB'],['3'],['8'],['2.7'],['4'],['0']
Ben Finley,CAL,['QB'],['12'],['8'],['0.7'],['6'],['0']
Derrick Davis Jr.,PITT,['RB'],['2'],['8'],['4.0'],['7'],['0']
Jayden Harrison,MRSH,['WR'],['1'],['8'],['8.0'],['8'],['0']
Cameron Ross,CONN,['WR'],['2'],['8'],['4.0'],['14'],['0']
Danny Hughes,MICH,['RB'],['2'],['8'],['4.0'],['6'],['0']
Jabre Barber,TROY,['WR'],['1'],['8'],['8.0'],['8'],['0']
Tar'Varish Dawson,COLO,['WR'],['1'],['8'],['8.0'],['8'],['1']
Emmett Morehead,BC,['QB'],['2'],['8'],['4.0'],['4'],['0']
Kaleb Brown,IOWA,['WR'],['2'],['8'],['4.0'],['9'],['0']
CJ Stokes,MICH,['RB'],['4'],['8'],['2.0'],['7'],['0']
Bryson Moss,EMU,['RB'],['1'],['8'],['8.0'],['8'],['0']
Will Pelissier,WYO,['WR'],['2'],['8'],['4.0'],['4'],['0']
Reese Clark,TEM,['TE'],['3'],['8'],['2.7'],['3'],['0']
Mike Sharpe II,ARST,['RB'],['2'],['8'],['4.0'],['5'],['0']
Max Fletcher,ARK,['P'],['1'],['8'],['8.0'],['8'],['0']
Kaleb Black,ASU,['WR'],['2'],['8'],['4.0'],['5'],['0']
Dewayne Coleman,ARMY,['QB'],['4'],['8'],['2.0'],['5'],['0']
Noah Short,ARMY,['WR'],['3'],['8'],['2.7'],['6'],['0']
Chuuky Hines,HAW,['WR'],['1'],['8'],['8.0'],['8'],['0']
Chauncy Cobb,ARST,['WR'],['1'],['8'],['8.0'],['8'],['0']
